cell,trace,pet,speed_kph,p,n,d_onc,t_sep,s_conf_m,s_stop_m,a_wait,wait_nominal_ok,tau_in_s,v_ego,v_onc,dg_A,G_A_proceed,G_A_wait,dg_B,G_B_proceed,G_B_wait,collide_share_proceed,first_collision_tau,x_A,pred_A,x_B,pred_B,scenario,clearance,timepoint,clearance_m,y_offset_m,v_cyc,y_rel,G_A_continue,G_A_abort,G_B_continue,G_B_abort
0.5m C5,,,,0.686046511627907,172.0,,,,,,,,14.277502568134931,,102940.5224703042,,,102787.50770163425,,,,,11.541906648677683,0.3616107488754232,11.54041910420688,0.3517061117553447,overtake,0.5m,C5,0.5,0.6258025360107435,5.538935661324177,1.348780999018082,144577.49449040418,41636.97202009997,144407.3173487932,41619.809647158945
1m C1,,,,0.20348837209302326,172.0,,,,,,,,14.277262737583031,,26281.2196540592,,,30032.634254115008,,,,,10.176609881493448,0.196975257036932,10.310039877879886,0.20248856970492854,overtake,1m,C1,1.0,0.011221811322883024,5.537065984219272,0.04628384961226347,40625.0652623442,14343.845608284999,40296.38697526835,10263.752721153343
1m C2,,,,0.18023255813953487,172.0,,,,,,,,14.277151912645838,,29675.513250015883,,,42043.513396201284,,,,,10.29807751503229,0.20601814505178118,10.646460394196346,0.23511726602602853,overtake,1m,C2,1.0,0.12953805923461914,5.538966179169211,0.42811700221817617,58014.64133104294,28339.12808102706,57989.45469492869,15945.941298727406
1m C3,,,,0.23837209302325582,172.0,,,,,,,,14.277220151078934,,75240.61516834814,,,79979.84897816242,,,,,11.228446459462726,0.31122285001355887,11.289529994153996,0.3147892823828873,overtake,1m,C3,1.0,0.28144049644470215,5.539371013708991,0.8289636373649506,99229.39168992048,23988.77652157233,99229.39168992048,19249.542711758062
1m C4,,,,0.3488372093023256,172.0,,,,,,,,14.277299267227407,,81533.53566520356,,,81656.47888177194,,,,,11.308769695148692,0.32344483304265814,11.310276444690562,0.31772567746090963,overtake,1m,C4,1.0,0.46844959616660997,5.539471149466166,1.17134474805551,104547.92342904165,23014.387763838087,104547.92342904165,22891.44454726972
1m C5,,,,0.37209302325581395,172.0,,,,,,,,14.275426967044622,,144134.58514578186,,,144154.12227363483,,,,,11.87850276114161,0.4230612504887405,11.878638299769243,0.40586264761136975,overtake,1m,C5,1.0,0.7021398544311512,5.536711216161917,1.5591848822192849,154063.14957977322,9928.56443399137,154062.4424146977,9908.320141062883
1.5m C1,,,,0.1686046511627907,172.0,,,,,,,,14.27765246313329,,15943.181152931582,,,19752.97850511969,,,,,9.676786502880075,0.16907218430276263,9.891059569344332,0.17022170475451825,overtake,1.5m,C1,1.5,0.016108751296997514,5.543461800716529,0.05419850931684023,30215.378136120544,14272.196983188962,29973.963567164934,10220.985062045245
1.5m C2,,,,0.16279069767441862,172.0,,,,,,,,14.27652916849262,,4223.816325641019,,,14799.54030772298,,,,,8.348494340927646,0.14132347779017454,9.602351398980838,0.15291024615125443,overtake,1.5m,C2,1.5,0.15680170059204124,5.537258148672883,0.5065646320223112,29552.02616807016,25328.20984242914,29551.93563264471,14752.395324921728
1.5m C3,,,,0.1686046511627907,172.0,,,,,,,,14.276621821305852,,13494.941721574229,,,15070.929393164472,,,,,9.5100702069229,0.16258916555065145,9.620522961461749,0.1538911619085864,overtake,1.5m,C3,1.5,0.32364847779274086,5.538114071122669,0.8648276386439797,31552.189896861415,18057.248175287186,31552.189896861415,16481.260503696943
1.5m C4,,,,0.13953488372093023,172.0,,,,,,,,14.27694630553014,,12412.34222840334,,,12454.166949417526,,,,,9.426446597569996,0.15977717627577054,9.429810540627397,0.1442747865814414,overtake,1.5m,C4,1.5,0.5672371530532825,5.538030147641921,1.3963187514678594,33982.6890087603,21570.346780356962,33982.6890087603,21528.522059342777
1.5m C5,,,,0.1569767441860465,172.0,,,,,,,,14.277025894647217,,120317.97714840989,,,120336.18033148236,,,,,11.697893326778459,0.3892329761117258,11.698044607631429,0.37637178738654614,overtake,1.5m,C5,1.5,0.837246396541595,5.539762973803234,1.8938954315834913,130874.13304297645,10556.155894566564,130874.07387945248,10537.893547970121
