video,cp,vy_oth,p_change,gc_1,gc_2,gc_3,gc_4,gc_6,p,n,ttc_start,ttc_true,distance,dv_kph,lcd,x_looming,gate_g1
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,0.004232281883507101,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0,21,2.0,2.0,3.888888888888889,7.0,2.0,-1.4758358334005228,0.06654594577985293
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,-0.9852701196991885,0.8224989799687148,0.76,0.76,0.76,0.76,0.76,0.9545454545454546,11,2.0,1.7,3.305555555555556,7.0,2.0,-1.1718197333747336,0.9638297846821879
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,-1.5240312751011829,0.9994770865896851,1.0,1.0,1.0,1.0,1.0,0.85,10,2.0,1.4,2.722222222222222,7.0,2.0,-0.818459091831626,0.9999946125945988
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,-1.578588381395977,0.9997289260609274,1.0,1.0,1.0,1.0,1.0,1.0,11,2.0,1.1,2.138888888888889,7.0,2.0,-0.4001972745314972,0.9999971383767287
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,-1.5954786911756704,0.9997792154525466,1.0,1.0,1.0,1.0,1.0,0.85,10,2.0,0.8,1.5555555555555556,7.0,2.0,0.1018040459973522,0.9999998018297924
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,CP1,0.0012367870960605547,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0238095238095238,21,3.0,3.0,5.833333333333333,7.0,2.0,-2.2555553199780123,0.06772784818573346
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,-0.9819343028203885,0.8173855861520491,0.75,0.75,0.75,0.75,0.75,0.8181818181818182,11,3.0,2.7,5.25,7.0,2.0,-2.0507658466895697,0.962857051757218
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,-1.5240398397156687,0.9994771401561579,1.0,1.0,1.0,1.0,1.0,0.75,10,3.0,2.4,4.666666666666666,7.0,2.0,-1.8234337124089448,0.9999945622056106
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,-1.5786115007208479,0.9997290020332111,1.0,1.0,1.0,1.0,1.0,0.9545454545454546,11,3.0,2.1,4.083333333333333,7.0,2.0,-1.5682605400132,0.9999971108527652
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,-1.6121453546314244,0.9998198353023068,1.0,1.0,1.0,1.0,1.0,0.8,10,3.0,1.8,3.5,7.0,2.0,-1.278005697428891,0.9999998506317893
LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.004485825744512014,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0,21,4.0,4.0,7.777777777777778,7.0,2.0,-2.819761432955759,0.06615554628018201
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,-1.29191522197877,0.9922837844973716,0.985,0.985,0.985,0.985,0.985,0.8636363636363636,11,4.0,3.7,7.194444444444445,7.0,2.0,-2.6662696454454218,0.9975699394498705
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,-1.5137004858804244,0.9994084035501213,1.0,1.0,1.0,1.0,1.0,0.7,10,4.0,3.4,6.611111111111111,7.0,2.0,-2.5002492060565444,0.9999960649379483
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,-1.598574354781786,0.9997873844381383,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,11,4.0,3.1,6.027777777777778,7.0,2.0,-2.3195237816851915,0.999998640030944
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,-1.6452253106733914,0.999879951241409,1.0,1.0,1.0,1.0,1.0,0.85,10,4.0,2.8,5.444444444444444,7.0,2.0,-2.121315140754475,0.9999999981713319
LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.0011524930533690608,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0,11,5.0,5.0,9.72222222222222,7.0,2.0,-3.2608415070219836,0.06733209223175622
LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,-1.2919127390495995,0.9922835699155359,0.985,0.985,0.985,0.985,0.985,0.8181818181818182,11,5.0,4.7,9.13888888888889,7.0,2.0,-3.1383125851464975,0.9975622879137458
LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,-1.595255043433191,0.9997786135087628,1.0,1.0,1.0,1.0,1.0,0.8636363636363636,11,5.0,4.1,7.972222222222221,7.0,2.0,-2.8684512727566536,0.9999985991644639
LC_dv07_Tlc2p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,0.0044858257445194154,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0,10,7.0,7.0,13.61111111111111,7.0,2.0,-3.9292297803881033,0.0656377762174264
LC_dv07_Tlc2p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,-1.507712463275418,0.9993646291443349,1.0,1.0,1.0,1.0,1.0,0.4,10,7.0,6.4,12.444444444444445,7.0,2.0,-3.7509387489017034,0.9999957165710589
LC_dv07_Tlc2p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,-1.6512109897983949,0.9998884922911374,1.0,1.0,1.0,1.0,1.0,0.35,10,7.0,5.8,11.277777777777777,7.0,2.0,-3.555294945454257,0.9999999982799959
